Name, Social, Company, Tag
Aakash Bhardwaj,https://twitter.com/aakash_316,Microsoft,@Aakash_316
Abid Rahman,,Microsoft,
Alex Clark,https://twitter.com/sharepointalex,Microsoft,@Sharepointalex
Alex Terentiev,https://twitter.com/alexaterentiev,Microsoft,@Alexaterentiev
Aline Tognini,https://github.com/alinefmr,Microsoft,alinefmr
Allen Snow,https://twitter.com/asnow003,Microsoft,@Asnow003
Altamish Ahmad,,Microsoft,
Andrey Esipov,,Microsoft,
April Dunnam,https://twitter.com/aprildunnam,Microsoft,@Aprildunnam
Arijit Mondal,https://www.github.com/ArijitCloud,Microsoft,
Arvind Ravi,,Microsoft,
Ashima Mathur,,Microsoft,
Ayca Bas,https://twitter.com/aycabs,Microsoft,@Aycabs
Bert Jansen,http://twitter.com/O365Bert,Microsoft,@O365Bert
Beverly Kim,https://github.com/bvandaal,Microsoft,bvandaal
Bob German,https://twitter.com/Bob1German,Microsoft,@Bob1German
Brian Dang,https://twitter.com/mrdang,Microsoft,@Mrdang
Brian Jackett,https://twitter.com/BrianTJackett,Microsoft,BrianTJackett
Bryan Petersen,https://github.com/bpeterse03,Microsoft,bpeterse03
Cathy Dew,https://twitter.com/catpaint1,Microsoft,@Catpaint
Charles Sterling,https://twitter.com/chass,Microsoft,@Chass
Christer Ljung,,Microsoft,
Christos Matskas,https://twitter.com/ChristosMatskas,Microsoft,@ChristosMatska
Dan Wahlin,https://twitter.com/DanWahlin,Microsoft,@DanWahlin
Dave Randall,https://github.com/triplanedave,Microsoft,triplanedave
David Chesnut,https://twitter.com/davidchesnut,Microsoft,@Davidchesnut
Doğan Erişen,https://github.com/derisen,Microsoft,derisen
Dragan Panjkov,https://twitter.com/panjkov,Microsoft,@Panjkov
Ed Averett,https://twitter.com/Ed_Averett,Microsoft,Ed_Everett
Emily Lynam,,Microsoft,
Elizabeth Samuel,,Microsoft,
Emma Cooper,,Microsoft,
Garry Trinder,https://twitter.com/garrytrinder,Microsoft,@Garrytrinder
Haimantika Mitra,https://twitter.com/HaimantikaM,Microsoft,@HaimantikaM>
Holger Lutz,https://github.com/HolgerLutz,Microsoft,HolgerLutz
Hugo Bernier,https://twitter.com/bernierh,Microsoft,@Bernierh
Igor Ribeiro,,Microsoft,
James Eccles,https://github.com/jameseccles,Microsoft, jameseccles
James Skay,https://twitter.com/JamesSkay,Microsoft,@JamesSka
Japhlet Nwamu,https://twitter.com/japhletnwamu,Microsoft,@Japhletnwamu
Jasey Waegebaert,https://github.com/Jwaegebaert,Microsoft,Jwaegebaert
Jasmine Hoegh,https://www.twitter.com/sbjishu,Microsoft,@Sbjishu
Jason Johnston,,Microsoft, | jasonjoh
Jay Hangan,,Microsoft,
John Nguyen,,Microsoft, | johnguy0
John Sudds,https://twitter.com/jsuddsjr,Microsoft,@Jsuddsjr
Jos Verlinde,https://github.com/Josverl,Microsoft, Josverl
Jyoti Pal,,Microsoft,
Kavishi Agarwal,,Microsoft,
Kevin Coughlin,https://twitter.com/kevintcoughlin,Microsoft,@Kevintcoughlin
Keyur Patelsdata,,Microsoft,
Koen Zomers,https://twitter.com/koenzomers,Microsoft,@Koenzomers
Holland Kaviani,,Microsoft,
Laura Graham,https://github.com/Lauragra,Microsoft,Lauragra
Holland Kaviani,,Microsoft,
Lee Stott,https://twitter.com/lee_stott,Microsoft,@Lee_Stott
\[Linda Delarvé,,Microsoft,
Linda Lu Cannon,https://github.com/lindalu-MSFT,Microsoft,lindalu-MSFT
Loki Meyburg,https://twitter.com/lokimeyburg,Microsoft,@Lokimeyburg
Luca Bandinelli,https://github.com/lucaband,Microsoft,lucaband
Mansa MusaLe,https://twitter.com/m4musale,Microsoft,@M4musale
Mathangi Chakrapani,,Microsoft,
Matthijs Hoekstra,https://twitter.com/mahoekst,Microsoft,@Mahoekst
Max Kulakov,,Microsoft,
Michael Aldridge,,Microsoft,
Mikael Svenson,https://twitter.com/mikaelsvenson,(Microsoft, | @Mikaelsvenson
Mike Hollinshead,https://twitter.com/mahollinshead,Microsoft,@Mahollinshea
Musale Martin,https://twitter.com/m4musale,Microsoft, | m4musale
Nancy Wang,https://twitter.com/nancyatMSFT,Microsoft,@nancyatMSFT
Natalie Pienkowska,https://twitter.com/NataliePienkow1,Microsoft,@nataliePienkow1
Nathan Zipf,https://github.com/NathZ1,Microsoft,NathZ1
Nick Adman,,Microsoft,
Nick Kramer,,Microsoft,
Nik Charlebois,https://twitter.com/NikCharlebois,Microsoft,@nikCharlebois
Nicolas Vogt,https://github.com/vogtn,Microsoft,vogtn
Nikolay Zainchkovskiy,https://github.com/NZainchkovskiy,Microsoft,NZainchkovskiy
Nickii Miaro,https://github.com/Mnickii,Microsoft,Nickii Miaro
Niko,https://github.com/NikoMix,Microsoft,NikoMix
Nikola Metulev,https://twitter.com/metulev,Microsoft,@Metulev
Orion O'Malley,,Microsoft,
Pam Green,https://www.twitter.com/contextuallib,Microsoft,@Contextuallib
Parag Jain,,Microsoft,
Pat Miller,https://twitter.com/PatMill_MSFT,Microsoft,@PatMill_MSFT
Patrick Rodgers,https://twitter.com/mediocrebowler,Microsoft,@Mediocrebowler
Rabia Williams,https://twitter.com/williamsrabia,Microsoft,@Williamsrabia
Rajdeep Chandra,,Microsoft,
Ravichandran Krishnasamy,https://twitter.com/spfx_blog,Microsoft,@Spfx_blog
Richard Astbury,https://twitter.com/richorama,Microsoft,@Richorama
Rick Kirkham,,Microsoft,
Roel,https://github.com/RoelVB,Microsoft,RoelVB
Roy Paar,https://www.linkedin.com/in/roypaar/,Microsoft,
Rui Santos,https://www.linkedin.com/in/ruisantosnor/,Microsoft,
Sam Larson,https://github.com/salarson,Microsoft,salarson
Shane Weaver,https://github.com/shweaver-MSFT,Microsoft,shweaver-MSFT
Shreyansh Agrawal,https://github.com/shagra-ms,Microsoft,shagra-ms
Sébastien Levert,https://twitter.com/sebastienlevert,Microsoft,@Sebastienlevert
Srinivas Varukala,https://twitter.com/svarukala,Microsoft,@Svarukala
Steven Jia,https://github.com/Steven-Jia,Microsoft,Steven-Jia
Shubham Gatkal,,Microsoft,
Tejas Mehta,https://twitter.com/tpmehta,Microsoft,@Tpmehta
Tim Mayo,https://www.twitter.com/timmayo,Microsoft,@Timmayo
Tom Resing,https://twitter.com/resing,Microsoft,@Resing
Tomomi Imura,https://twitter.com/girlie_mac,Microsoft,@Girlie_mac
Vesa Juvonen,https://twitter.com/vesajuvonen,Microsoft,@Vesajuvonen
Wajeed Shaikh,https://github.com/Wajeed-msft,Microsoft,Wajeed-msft
Waldek Mastykarz,https://twitter.com/waldekm,Microsoft,@Waldekm
Wictor Wilen,https://twitter.com/wictor,Microsoft,@Wictor
Vincent Biret,https://twitter.com/baywet,Microsoft,@baywet
Zakiullah Khan,,Microsoft,
